,id,user,tweet,created_at,prepro
6,1432828682066751490,Joked,"Mungkin ada saudara, tetangga atau teman yg bapak atau ibunya meninggal dunia karena covid dan mau kuliah... ada beasiswa di UMJ
Beasiswa bebas biaya kuliah. Salah satu orang tua meninggal dunia atau kedua orang tua meninggal dunia karena covid, semoga membatu ya",2021-08-31 22:12:33,"['saudara', 'tetangga', 'teman', 'ibu', 'tinggal', 'dunia', 'covid', 'kuliah', 'beasiswa', 'umj', 'beasiswa', 'bebas', 'biaya', 'kuliah', 'salah', 'orang', 'tua', 'tinggal', 'dunia', 'orang', 'tua', 'tinggal', 'dunia', 'covid', 'moga', 'batu']"
14,1432752355196354567,Abdillah Sibarani,"Alhamdulillah bisa selamat dari maut

#pejuangcovid
#alumnicovid
#Covid_19",2021-08-31 17:09:15,"['alhamdulillah', 'selamat', 'maut', 'pejuangcovid', 'alumnicovid', 'covid']"
26,1432731051407806466,Pelita Batak,Presiden Jokowi Tinjau Kegiatan Vaksinasi Covid-19 di Kabupaten Kuningan https://t.co/UyluTb5y2D,2021-08-31 15:44:36,"['presiden', 'jokowi', 'tinjau', 'giat', 'vaksinasi', 'covid', 'kabupaten', 'kuningan']"
29,1432728500650139651,Agung puspadewi,@_riverheaven @jokowi Semoga indonesia bebas covid #JokowiLawanPandemi,2021-08-31 15:34:28,"['moga', 'indonesia', 'bebas', 'covid', 'jokowilawanpandemi']"
31,1432728076375367680,Agung puspadewi,@jisatu01 Semoga indonesia segera pulih bebas covid #VaksinDariRumahKeRumah https://t.co/dZiAWrymmX,2021-08-31 15:32:46,"['moga', 'indonesia', 'pulih', 'bebas', 'covid', 'vaksindarirumahkerumah']"
32,1432727867687718912,Agung puspadewi,@adedipura @mulya78 @kangdede78 @tjhinfar21 @Nirmala2205 Terima kasih pak @jokowi semoga indonesia bebas covid dan bapak sehat selalu #VaksinDariRumahKeRumah https://t.co/7orMAPlCKf,2021-08-31 15:31:57,"['terima', 'kasih', 'moga', 'indonesia', 'bebas', 'covid', 'sehat', 'vaksindarirumahkerumah']"
34,1432727144547848195,Agung puspadewi,Semoga indonesia bebas covid #VaksinDariRumahKeRumah https://t.co/juqHux6hP5 https://t.co/qRdbCyE86N,2021-08-31 15:29:04,"['moga', 'indonesia', 'bebas', 'covid', 'vaksindarirumahkerumah']"
35,1432726942923427841,Agung puspadewi,@wayanjering788 Terima kasih pak @jokowi semoga indonesia bebas covid #VaksinDariRumahKeRumah,2021-08-31 15:28:16,"['terima', 'kasih', 'moga', 'indonesia', 'bebas', 'covid', 'vaksindarirumahkerumah']"
37,1432726640606343177,Agung puspadewi,@Eka_Dutajaladri @AriNazila_ @jokowi Vaksinasi dan prokes cara efektif untuk pencegahan penyebaran covid #VaksinDariRumahKeRumah https://t.co/AaGQARVcPF,2021-08-31 15:27:04,"['vaksinasi', 'prokes', 'efektif', 'cegah', 'sebar', 'covid', 'vaksindarirumahkerumah']"
45,1432714651624693768,اوجاغ ماواردي,"Pandemi belum lagi berhenti dan pemerintah pun telah berikhtiar untuk menangani nya... demi kebaikan bersama kami, Yayasan Dulur Salembur Bersama Pecinta dan Pemerhati Anak Yatim menyelenggarakan kegiatan Santunan guna membantu dan meringankan beban dampak Pandemi covid 19 https://t.co/dfv3aRqNZW",2021-08-31 14:39:26,"['pandemi', 'henti', 'perintah', 'ikhtiar', 'tangan', 'baik', 'yayasan', 'dulur', 'salembur', 'cinta', 'perhati', 'anak', 'yatim', 'selenggara', 'giat', 'santun', 'bantu', 'ringan', 'beban', 'dampak', 'pandemi', 'covid']"
48,1432708667107913753,Agung puspadewi,@K412R4 @jokowi Terima kasih pak @Jokowi semoga indonesia bebas covid dan semoga bapak sehat selalu #VaksinDariRumahKeRumah https://t.co/FO8GdcK1ew,2021-08-31 14:15:39,"['terima', 'kasih', 'moga', 'indonesia', 'bebas', 'covid', 'moga', 'sehat', 'vaksindarirumahkerumah']"
59,1432703174956228609,Candy,"Prokes lindungi keluarga kita dari ancaman Covid-19

Yuk disiplin
Dan ikut vaksinasi https://t.co/IbDMT44gEl",2021-08-31 13:53:49,"['prokes', 'lindung', 'keluarga', 'ancam', 'covid', 'yuk', 'disiplin', 'vaksinasi']"
